Time (weeks),40435,40442,40470,40471
-0.1,5,5,5,5
0,5,5,5,5
1,226000,1850,21500,162
1.7,,,6180000,568000
2,4210000,35600,,
3,2990000,411000,10300000,20300000
4,6280000,239000,983000,3070000
5,3150000,118000,147000,1910000
6,892000,140000,251000,2760000
7,476000,38700,354000,1730000
8,230000,84700,139000,2750000
9,395000,78600,90900,4050000
10,670000,70600,31100,2450000
11,366000,59200,21900,1200000
12,106000,53700,21600,2320000
13,32200,55500,5260,909000
14,75400,42600,7830,791000
15,57000,39800,14700,500000
16,30400,39400,16400,459000
17,7080,30700,16500,270000
18,73400,24500,20292.22168,54498.37158
19,54300,22100,14235.36621,115197.1826
20,53780.51025,27428.96729,11254.87732,116263.4521
21,21756.72607,16850.3595,10602.01294,68966.58691
22,21531.24817,21814.75159,16195.17761,94253.44727
23,11412.89429,21307.83752,7799.064941,76992.7002
24,14594.08264,14883.17871,3709.25827,44598.93311
25,14401.12061,24276.54053,4539.813995,95835.97656
26,7962.807312,31913.47168,7787.713928,74429.34082
27,18107.7063,21736.47705,4206.082458,109926.0596
28,21373.47595,22167.05688,3044.609833,
29,6915.812073,23720.74097,,
30,4741.40274,14135.67871,,
